context,scope,cancer,geneA,geneB,group,nPatients,nEvents,medianOsMonths,medianOsStatus
PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,B only,539,106,,not reached
PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,A+B,198,20,,not reached
PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,A−/B−,370,69,112.535753,estimated
PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,A only,1174,137,,not reached
PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,B only,700,252,41.16119275,estimated
PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,A+B,282,58,,not reached
CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,A−/B−,1068,146,,not reached
CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,A only,476,60,,not reached
CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,B only,912,301,50.203,estimated
CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,A+B,70,9,,not reached
SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,A−/B−,1991,1007,35.80273973,estimated
SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,A only,711,309,54.87123288,estimated
SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,B only,539,325,25.70958904,estimated
SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,A+B,28,15,24.92054795,estimated
KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,A−/B−,55380,17937,56.91,estimated
KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,A only,1269,524,38.16944472,estimated
KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,B only,1108,431,37.808,estimated
KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,A+B,629,339,13.019,estimated
KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,A−/B−,39259,12335,82.93,estimated
KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,A only,4673,1615,47.04336399,estimated
KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,B only,23361,9274,40,estimated
