scope,cancer,geneA,geneB,context,contrast,nPatients,nEvents,nStudies,nStrata,nDoubleNegative,nAOnly,nBOnly,nDoubleMutant,coefficient,standardError,hazardRatio,ciLow,ciHigh,z,p,phTestP,tiesMethod,fitStatus,globalFdr,withinCancerFdr,fdrFamily,geneAFrequency,geneBFrequency,frequencyThreshold,eligibilityRule
cancer-specific,COADREAD,APC,ARID1A,APC–ARID1A (COADREAD),A+B versus A−/B−,5693,1305,15,15,1344,3636,254,459,-0.724856146493103,0.136903069643897,0.484394245754589,0.370396497455634,0.633477332890443,-5.29466686450894,1.19233571363126e-07,0.549396461222481,Efron,estimated,5.036102709100169e-06,3.6167516646814882e-06,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.11409515340151179,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,ARID1A,APC–ARID1A (COADREAD),multiplicative A×B interaction,5693,1305,15,15,1344,3636,254,459,-0.168258342894922,0.201754182303009,0.845135471735245,0.569105599649387,1.25504645539455,-0.833976976210685,0.40429395811811,0.549396461222478,Efron,estimated,0.8489870033103665,0.8759702425892383,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.11409515340151179,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,BRAF,APC–BRAF (COADREAD),A+B versus A−/B−,5693,1305,15,15,1230,3804,368,291,-0.133898021954331,0.135961612586795,0.874679258136698,0.670066789392853,1.14177245720205,-0.984822255391045,0.324711386762914,0.0288835288210531,Efron,estimated,0.4390563080917969,0.6647607257368229,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.10226767452200979,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,BRAF,APC–BRAF (COADREAD),multiplicative A×B interaction,5693,1305,15,15,1230,3804,368,291,-0.0839314397988648,0.168230365860278,0.919494294647916,0.66122778093087,1.27863617088173,-0.498907788553304,0.617844346890904,0.028883528821053,Efron,estimated,0.9162462030958715,0.9308794353696772,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.6854602045353491,0.10226767452200979,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,CSMD3,APC–CSMD3 (COADREAD),A+B versus A−/B−,1269,372,7,7,394,689,58,128,-0.121941426955133,0.192386193820741,0.885200215856143,0.607130549360173,1.29062756433116,-0.633836683045738,0.526187410571146,0.204975167958537,Efron,estimated,0.6292029880725988,0.7723073284189401,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.599027409372237,0.10079575596816977,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,CSMD3,APC–CSMD3 (COADREAD),multiplicative A×B interaction,1269,372,7,7,394,689,58,128,0.192347667809437,0.32936995733659,1.21209184903685,0.63558745221023,2.31150984084503,0.583986679795672,0.559229273797852,0.204975167958537,Efron,estimated,0.8944796856895041,0.9308794353696772,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.599027409372237,0.10079575596816977,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,FAT3,APC–FAT3 (COADREAD),A+B versus A−/B−,1269,372,7,7,397,676,55,141,-0.276779854551739,0.196079140208927,0.758221397728113,0.51628935380536,1.11352225982469,-1.41157215528803,0.158075975936694,0.828254242382553,Efron,estimated,0.26191843885255417,0.4794971270079718,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.599027409372237,0.13859416445623343,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,FAT3,APC–FAT3 (COADREAD),multiplicative A×B interaction,1269,372,7,7,397,676,55,141,-0.29249160605249,0.313502723506028,0.746401510264685,0.40375555211172,1.37983294994108,-0.93297947393068,0.350830566395814,0.828254242382551,Efron,estimated,0.8078330794987862,0.7786727205370506,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.599027409372237,0.13859416445623343,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,FAT4,APC–FAT4 (COADREAD),A+B versus A−/B−,1269,372,7,7,376,651,76,166,-0.196120364725523,0.183587426058567,0.821913299355464,0.573529957324344,1.17786606092723,-1.06826686846711,0.285400149053616,0.791695436082304,Efron,estimated,0.40181761098396107,0.6334491113141233,A+B versus A−/B−; all cancer-specific frequency-eligible contexts,0.599027409372237,0.16511936339522545,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
cancer-specific,COADREAD,APC,FAT4,APC–FAT4 (COADREAD),multiplicative A×B interaction,1269,372,7,7,376,651,76,166,-0.111728496367853,0.28059484351991,0.89428702671844,0.515981542796513,1.54995715897594,-0.398184424796549,0.690494246005176,0.791695436082304,Efron,estimated,0.9322971825713384,0.9378354684547912,multiplicative A×B interaction; all cancer-specific frequency-eligible contexts,0.599027409372237,0.16511936339522545,0.1,"both genes meet mutation-frequency threshold; n>=80; events>=20; every genotype group>=20; retained stratum n>=10, events>=2 and >=2 genotype groups"
