context,scope,cancer,geneA,geneB,model,varianceEstimator,adjustmentTerms,nPatients,nEvents,nStudies,nStrata,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,fdr,fitStatus
KEAP1–STK11 (LUAD),cancer-specific,LUAD,KEAP1,STK11,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,6980,2328,17,17,0.9182251091,0.08188477856,2.504840623,2.133436142,2.940901967,3.495813734e-29,9.322169957e-29,estimated
KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,four-group age/sex complete-case,model-based,standardised age + recorded sex,522,245,3,3,1.298844798,0.7214897774,3.665060335,0.8911440598,15.07350816,0.07182492902,0.1915331441,estimated
KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,four-group primary,model-based,none,1403,615,9,9,0.3382419802,0.5038806531,1.402479835,0.5223873312,3.765308937,0.5020459964,0.5503165,estimated
KEAP1–STK11 (LUSC),cancer-specific,LUSC,KEAP1,STK11,four-group zero-time sensitivity,model-based,none,1416,625,9,9,0.5439081613,0.4514467827,1.722726416,0.7111220006,4.173385581,0.2282761771,0.3043682361,estimated
KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,four-group age/sex complete-case,model-based,standardised age + recorded sex,845,158,5,5,0.1059104852,0.231229722,1.111722356,0.7065993655,1.749119315,0.6469298454,0.7962213481,estimated
KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,four-group primary,model-based,none,5693,1305,15,15,0.1745457071,0.08928160898,1.190705165,0.9995570671,1.418407049,0.05058285671,0.0899250786,estimated
KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,four-group study-clustered sensitivity,study-clustered sandwich,none,5693,1305,15,15,0.1745457071,0.09573709626,1.190705165,0.9869898201,1.43646749,0.06827653178,0.1092424508,estimated
KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,four-group zero-time sensitivity,model-based,none,5738,1325,15,15,0.1829990107,0.08852051456,1.20081322,1.009547277,1.428315862,0.03870530819,0.06880943679,estimated
KRAS–TP53 (COADREAD),cancer-specific,COADREAD,KRAS,TP53,four-group zero-time study-clustered sensitivity,study-clustered sandwich,none,5738,1325,15,15,0.1829990107,0.1020742517,1.20081322,0.9830818995,1.466767306,0.07300445169,0.1168071227,estimated
KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,four-group age/sex complete-case,model-based,standardised age + recorded sex,1154,405,5,5,0.6200380237,0.193296009,1.858998727,1.272756229,2.715269576,0.001337951778,0.007135742815,estimated
KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,four-group primary,model-based,none,6925,2288,17,17,0.4996767419,0.07452291636,1.648188394,1.424206063,1.907396025,2.013954903e-11,5.370546408e-11,estimated
KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,four-group study-clustered sensitivity,study-clustered sandwich,none,6925,2288,17,17,0.4996767419,0.03906402934,1.648188394,1.526706272,1.779337017,1.835603627e-37,7.342414508e-37,estimated
