datasetId,context,scope,cancer,geneA,geneB,term,chiSquare,degreesFreedom,phTestP,transform,diagnostic,tiesMethod,phFdr,phFdrFamily
cancer-specific_GBM_IDH1_TP53_positive,IDH1–TP53 (GBM),cancer-specific,GBM,IDH1,TP53,GLOBAL,4.248901642,3,0.2358112805,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,A_only,34.50622674,1,4.248899223e-09,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,B_only,115.7533583,1,5.382409749e-27,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,Both,5.580366478,1,0.01816292154,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.08778745409,all 29 primary A+B coefficient-level PH tests
cancer-specific_BRCA_PIK3CA_TP53_positive,PIK3CA–TP53 (BRCA),cancer-specific,BRCA,PIK3CA,TP53,GLOBAL,148.9553379,3,4.427048025e-32,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,A_only,45.03715896,1,1.933308485e-11,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,B_only,18.61943808,1,1.595850662e-05,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,Both,0.265271138,1,0.60652172,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.7977353305,all 29 primary A+B coefficient-level PH tests
cancer-specific_LUAD_EGFR_KRAS_positive,EGFR–KRAS (LUAD),cancer-specific,LUAD,EGFR,KRAS,GLOBAL,49.40783217,3,1.068073113e-10,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_KRAS_TP53_positive,KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,A_only,14.09285051,1,0.0001740039142,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_KRAS_TP53_positive,KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,B_only,7.902070131,1,0.004937825447,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_KRAS_TP53_positive,KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,Both,5.220909454,1,0.0223168768,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.09245563247,all 29 primary A+B coefficient-level PH tests
cancer-specific_LUAD_KRAS_TP53_positive,KRAS–TP53 (LUAD),cancer-specific,LUAD,KRAS,TP53,GLOBAL,23.29694068,3,3.5017916e-05,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_STK11_TP53_positive,STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,A_only,10.24877503,1,0.00136775395,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_STK11_TP53_positive,STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,B_only,6.758178701,1,0.009331895889,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_LUAD_STK11_TP53_positive,STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,Both,6.282716392,1,0.01219210769,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.07071422459,all 29 primary A+B coefficient-level PH tests
cancer-specific_LUAD_STK11_TP53_positive,STK11–TP53 (LUAD),cancer-specific,LUAD,STK11,TP53,GLOBAL,19.15885786,3,0.000253480325,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_COADREAD_BRAF_KRAS_positive,BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,A_only,18.86278229,1,1.404666551e-05,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_COADREAD_BRAF_KRAS_positive,BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,B_only,0.04055135112,1,0.8404064093,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_COADREAD_BRAF_KRAS_positive,BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,Both,0.6275709464,1,0.428247709,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.6970326698,all 29 primary A+B coefficient-level PH tests
cancer-specific_COADREAD_BRAF_KRAS_positive,BRAF–KRAS (COADREAD),cancer-specific,COADREAD,BRAF,KRAS,GLOBAL,23.09329461,3,3.861457835e-05,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_SKCM_BRAF_NRAS_positive,BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,A_only,3.298416631,1,0.06934669812,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_SKCM_BRAF_NRAS_positive,BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,B_only,0.7019147769,1,0.4021410485,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_SKCM_BRAF_NRAS_positive,BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,Both,0.06556163187,1,0.7979121851,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.8570167914,all 29 primary A+B coefficient-level PH tests
cancer-specific_SKCM_BRAF_NRAS_positive,BRAF–NRAS (SKCM),cancer-specific,SKCM,BRAF,NRAS,GLOBAL,3.696224727,3,0.2961898736,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,A_only,1.349676159,1,0.2453347391,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,B_only,0.4923609328,1,0.4828760324,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,Both,0.1550381194,1,0.6937665068,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.8047691479,all 29 primary A+B coefficient-level PH tests
cancer-specific_UCEC_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (UCEC),cancer-specific,UCEC,PIK3CA,PIK3R1,GLOBAL,4.0369369,3,0.2575031361,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,A_only,0.01549403094,1,0.9009391766,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,B_only,0.05136081053,1,0.8207120568,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,Both,4.714136928,1,0.02991557907,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.1006695139,all 29 primary A+B coefficient-level PH tests
cancer-specific_UCEC_PTEN_TP53_positive,PTEN–TP53 (UCEC),cancer-specific,UCEC,PTEN,TP53,GLOBAL,6.566635195,3,0.08707129643,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,A_only,1.982127865,1,0.15916642,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,B_only,0.2609211481,1,0.6094880189,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,Both,2.574973939,1,0.1085658897,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.2623675667,all 29 primary A+B coefficient-level PH tests
cancer-specific_UCEC_CTNNB1_TP53_positive,CTNNB1–TP53 (UCEC),cancer-specific,UCEC,CTNNB1,TP53,GLOBAL,7.374123699,3,0.06088250834,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,A_only,37.06431391,1,1.142964609e-09,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,B_only,0.09018042877,1,0.763947903,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,Both,4.639601137,1,0.03124226293,rank,cox.zph scaled Schoenfeld-residual test,Efron,0.1006695139,all 29 primary A+B coefficient-level PH tests
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,GLOBAL,46.02594711,3,5.599896055e-10,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,A_only,10.05886094,1,0.001516169379,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,B_only,1.586184516,1,0.2078721082,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,Both,39.81228785,1,2.795806209e-10,rank,cox.zph scaled Schoenfeld-residual test,Efron,8.107838007e-09,all 29 primary A+B coefficient-level PH tests
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,GLOBAL,55.8333197,3,4.559475833e-12,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,A_only,19.27601816,1,1.131182821e-05,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,B_only,45.38576008,1,1.618065361e-11,rank,cox.zph scaled Schoenfeld-residual test,Efron,,
