cancer,pair,selectionSource,allStudiesPrimaryOr,allStudiesPrimaryCiLow,allStudiesPrimaryCiHigh,allStudiesPrimaryP,nStudiesWithJointCoverage,nStudiesWithInformativeStrata,nAllStudyStrata,nAllStudyInformativeStrata,studySpecificOrMin,studySpecificOrMax,leaveOneStudyOutOrMin,leaveOneStudyOutOrMax,nLeaveOneStudyOutEstimable,allLeaveOneStudyOutEstimable,leaveOneStudyOutDirectionStableAmongEstimable,leaveOneStudyOutDirectionStable,nFiniteStudyEstimates,heterogeneityQ,heterogeneityDf,heterogeneityP,heterogeneityI2Pct,tau2DerSimonianLaird,fixedEffectOr,fixedEffectCiLow,fixedEffectCiHigh,randomEffectsOr,randomEffectsCiLow,randomEffectsCiHigh,primarySpecification
PAAD,CDKN2A-TP53,Figure 8 displayed context,3.744815982,3.056222313,4.58855584,1.794210536e-41,25,18,72,33,2,8.718069585,3.605887468,4.11984205,25,True,True,True,15,10.26522009,14,0.7425471456,0,0,3.583159091,2.917881643,4.400119897,3.583159091,2.917881643,4.400119897,detailed histology + study + exact assay/panel; no burden
PAAD,KRAS-TP53,Figure 8 displayed context; prespecified reference context,6.124928341,5.079172037,7.385996557,6.061953479e-98,25,17,72,37,0.2,26.11111111,5.535010095,6.470443303,25,True,True,True,17,36.42762823,16,0.00252271653,56.07729413,0.2214899693,6.13146866,5.076996925,7.404949912,5.551982582,3.951155864,7.801390693,detailed histology + study + exact assay/panel; no burden
PRAD,APC-SPOP,Figure 8 displayed context,3.96132158,3.06750844,5.11557473,3.882053966e-29,32,21,52,25,1.693363844,56,3.445488496,4.110723612,32,True,True,True,13,7.215562162,12,0.8430456157,0,0,4.03103134,3.098160235,5.244794469,4.03103134,3.098160235,5.244794469,detailed histology + study + exact assay/panel; no burden
PRAD,SPOP-TP53,Figure 8 displayed context,0.5095129939,0.4063645801,0.638843796,2.940573289e-09,32,25,52,33,0.4046392575,7,0.4820256758,0.6163582,32,True,True,True,14,12.47039044,13,0.4894996808,0,0,0.5524128182,0.439052554,0.695041901,0.5524128182,0.439052554,0.695041901,detailed histology + study + exact assay/panel; no burden
SARC,NF1-TP53,sarcoma assay-metadata sensitivity context,2.314710686,1.820966292,2.942330995,3.067655524e-12,28,17,255,71,1.416126927,4.940023753,2.189338423,2.482296795,28,True,True,True,9,3.261651625,8,0.9168808315,0,0,2.434734232,1.909624836,3.104238419,2.434734232,1.909624836,3.104238419,detailed histology + study + exact assay/panel; no burden
SARC,RB1-TP53,sarcoma assay-metadata sensitivity context,2.719195701,2.258272551,3.274195249,3.485508739e-28,28,16,255,71,0.2857142857,19.26666667,2.592839496,2.782976497,28,True,True,True,11,9.271107584,10,0.5065823788,0,0,2.667173933,2.21103279,3.217418042,2.667173933,2.21103279,3.217418042,detailed histology + study + exact assay/panel; no burden
SKCM,BRAF-NRAS,Figure 8 displayed context; prespecified reference context,0.09240501718,0.07216661282,0.1183190795,7.96402435e-108,29,22,55,45,0.01491146319,0.531147541,0.0839294356,0.1017559795,29,True,True,True,13,31.84245243,12,0.001463381321,62.31446047,0.3955894158,0.09906159524,0.07647531037,0.1283185332,0.1063721607,0.06681434387,0.1693504106,detailed histology + study + exact assay/panel; no burden
UCEC,AKT1-PTEN,Figure 8 displayed context,0.1591917247,0.1163377117,0.217831388,3.186111689e-46,19,11,88,33,0.05477597144,0.4662326132,0.1159705814,0.2148062405,19,True,True,True,6,18.39126148,5,0.00249398032,72.8131754,0.5598625389,0.1701526318,0.1234069314,0.2346052834,0.1587915053,0.07443186647,0.3387627283,detailed histology + study + exact assay/panel; no burden
UCEC,CTNNB1-TP53,Figure 8 displayed context; prespecified reference context,0.3703724491,0.2976144245,0.4609176832,2.754334243e-20,19,13,88,42,0.1292307692,2.609801489,0.3428841035,0.426994699,19,True,True,True,9,24.9946333,8,0.001557816343,67.99312915,0.3098796674,0.3966336309,0.3166441085,0.4968298255,0.4904532831,0.2993608888,0.8035265525,detailed histology + study + exact assay/panel; no burden
UCEC,PIK3CA-PIK3R1,Figure 8 displayed context; prespecified reference context,0.2016853167,0.1746697611,0.2328792731,3.159021378e-118,19,14,88,66,0.1459736927,1.6,0.19378383,0.2215731525,19,True,True,True,11,12.85533899,10,0.2318728421,22.21130843,0.02110013704,0.2032398048,0.1758921254,0.2348394971,0.2122322731,0.174413481,0.2582514694,detailed histology + study + exact assay/panel; no burden
UCEC,PTEN-TP53,Figure 8 displayed context; prespecified reference context,0.3798789687,0.3217569313,0.4485001467,8.267977564e-32,19,13,88,59,0.0875,2.149751389,0.3638586135,0.4029663578,19,True,True,True,12,27.07154498,11,0.004482238558,59.36692934,0.1632213983,0.3717259456,0.3140833608,0.4399474658,0.3716975857,0.2591185862,0.5331886734,detailed histology + study + exact assay/panel; no burden
