datasetId,context,scope,cancer,geneA,geneB,nPrimaryPatients,nExcludedConflictSpecimens,nPatients,nEvents,nStudies,nStrata,coefficient,standardError,hazardRatio,ciLow,ciHigh,p,contrast,sensitivityDefinition,baselineHazards,tiesMethod,fitStatus,fdr,fdrFamily
cancer-specific_MDS_SF3B1_SRSF2_positive,SF3B1–SRSF2 (MDS),cancer-specific,MDS,SF3B1,SRSF2,3269,0,3269,1656,3,3,0.3433567806,0.2604134482,1.409671616,0.846162211,2.348455223,0.1873342066,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study,Efron,structural no-overlap; estimate identical to strict primary,0.2724861187,scope=cancer-specific
pan-cancer_PAN-CANCER_KEAP1_STK11_positive,KEAP1–STK11 (pan-cancer),pan-cancer,PAN-CANCER,KEAP1,STK11,58386,73,58313,19192,93,201,0.8321570995,0.05788334328,2.298270996,2.051780251,2.574373922,7.272869327e-47,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,4.727365063e-46,scope=pan-cancer
pan-cancer_PAN-CANCER_KRAS_TP53_positive,KRAS–TP53 (pan-cancer),pan-cancer,PAN-CANCER,KRAS,TP53,72612,75,72537,25492,139,332,0.5841536692,0.03019885308,1.793472472,1.690399692,1.902830156,2.309151226e-83,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,3.001896593e-82,scope=pan-cancer
pan-cancer_PAN-CANCER_PTEN_PIK3CA_positive,PTEN–PIK3CA (pan-cancer),pan-cancer,PAN-CANCER,PTEN,PIK3CA,70675,75,70600,24810,128,291,-0.1697684771,0.06268321334,0.8438601669,0.7463017144,0.9541717078,0.006761738258,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,0.01098782467,scope=pan-cancer
pan-cancer_PAN-CANCER_IDH1_TP53_positive,IDH1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,IDH1,TP53,70588,75,70513,24320,136,327,-0.1599123268,0.08406703044,0.8522185024,0.7227581088,1.004867835,0.05714497936,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,0.0783654104,scope=pan-cancer
pan-cancer_PAN-CANCER_PIK3CA_TP53_positive,PIK3CA–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,TP53,72535,75,72460,25458,139,329,0.4456047197,0.03120238494,1.56143414,1.468805035,1.659904832,2.869897809e-46,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,1.243622384e-45,scope=pan-cancer
pan-cancer_PAN-CANCER_EGFR_KRAS_positive,EGFR–KRAS (pan-cancer),pan-cancer,PAN-CANCER,EGFR,KRAS,70399,75,70324,24738,123,288,0.05805971395,0.1333000086,1.059778277,0.816112144,1.376195668,0.663158381,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,0.663158381,scope=pan-cancer
pan-cancer_PAN-CANCER_STK11_TP53_positive,STK11–TP53 (pan-cancer),pan-cancer,PAN-CANCER,STK11,TP53,69440,75,69365,23848,136,327,0.6630881211,0.0571257792,1.940776442,1.735201684,2.170706284,3.774421321e-31,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,1.226686929e-30,scope=pan-cancer
pan-cancer_PAN-CANCER_BRAF_KRAS_positive,BRAF–KRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,KRAS,69819,49,69770,24349,118,278,-0.069294621,0.1214993037,0.9330517429,0.7353351624,1.183930267,0.5684543262,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,0.6158255201,scope=pan-cancer
pan-cancer_PAN-CANCER_BRAF_NRAS_positive,BRAF–NRAS (pan-cancer),pan-cancer,PAN-CANCER,BRAF,NRAS,69778,48,69730,24325,112,259,0.2443165822,0.1300433332,1.276748462,0.9894919322,1.647397602,0.06028108492,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,0.0783654104,scope=pan-cancer
pan-cancer_PAN-CANCER_PIK3CA_PIK3R1_positive,PIK3CA–PIK3R1 (pan-cancer),pan-cancer,PAN-CANCER,PIK3CA,PIK3R1,66845,75,66770,22948,123,276,-0.444952784,0.11470498,0.6408545339,0.5118260725,0.8024103414,0.0001048410359,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,0.0002271555778,scope=pan-cancer
pan-cancer_PAN-CANCER_PTEN_TP53_positive,PTEN–TP53 (pan-cancer),pan-cancer,PAN-CANCER,PTEN,TP53,72546,75,72471,25469,138,330,0.3944617803,0.04068299435,1.483585481,1.369881961,1.606726668,3.135911086e-22,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,8.153368823e-22,scope=pan-cancer
pan-cancer_PAN-CANCER_CTNNB1_TP53_positive,CTNNB1–TP53 (pan-cancer),pan-cancer,PAN-CANCER,CTNNB1,TP53,70604,75,70529,24308,136,328,0.2353569441,0.06563891244,1.265360351,1.112608257,1.43908407,0.0003362636643,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,0.0006244896623,scope=pan-cancer
pan-cancer_PAN-CANCER_SF3B1_SRSF2_positive,SF3B1–SRSF2 (pan-cancer),pan-cancer,PAN-CANCER,SF3B1,SRSF2,64674,40,64634,21981,105,229,0.2809881882,0.1935767701,1.32443796,0.906272442,1.935550314,0.1466241433,A+B versus A−/B−,exclude each specimen with any off-panel assay-metadata conflict; do not reclassify off-panel positives as assayed,study × cancer group,Efron,estimated,0.1732830784,scope=pan-cancer
